Team,Name
Golden State Warriors,勇士
San Antonio Spurs,马刺
Cleveland Cavaliers,骑士
Toronto Raptors,猛龙
Oklahoma City Thunder,雷霆
Los Angeles Clippers,快船
Atlanta Hawks,老鹰
Boston Celtics,凯尔特人
Charlotte Hornets,黄蜂
Miami Heat,热火
Indiana Pacers,步行者
Portland Trail Blazers,开拓者
Detroit Pistons,活塞
Dallas Mavericks,小牛
Chicago Bulls,公牛
Memphis Grizzlies,灰熊
Houston Rockets,火箭
Washington Wizards,奇才
Utah Jazz,爵士
Orlando Magic,魔术
Sacramento Kings,国王
Denver Nuggets,掘金
Milwaukee Bucks,雄鹿
New York Knicks,尼克斯
New Orleans Pelicans,鹈鹕
Minnesota Timberwolves,森林狼
Phoenix Suns,太阳
Brooklyn Nets,篮网
Los Angeles Lakers,湖人
Philadelphia 76ers,76人
